create_time,bid,campaign_id,custom_track,group_id,job_id,publisher_id,ts
e7040c20-0071-11ed-9414-ba67f1f6702c,,,click,,,,2022-07-10 17:01:00
f657ea40-006f-11ed-8765-05ce2bb1ee53,,,click,,,,2022-07-10 16:47:00
b5cc4370-0a44-11ed-8a36-02b376d56c1b,,,,,,,2022-07-23 05:02:00
4c94b1e0-0c00-11ed-a518-4986d5de0ccf,,,alive,,,,2022-07-25 09:58:00
93e49d80-0c00-11ed-8507-d765ef41a658,0,222,click,,1530,1,2022-07-25 10:00:00
dcf66770-037b-11ed-a208-a8017d806e2d,,,,,,,2022-07-14 13:50:00
63acc810-0d61-11ed-b748-61f590e0d795,,,alive,,,,2022-07-27 04:05:00
343fab60-0bfe-11ed-8e33-bb345a9658f7,,,alive,,,,2022-07-25 09:43:00
befa9f00-08d7-11ed-9752-c69e81614e96,,,,,,,2022-07-21 09:30:00
348fee50-0658-11ed-bd58-750a10c4a570,,,,,,,2022-07-18 05:12:00
d4eaa8a0-fd42-11ec-926b-b6d0fbc63fe5,,,,,,,2022-07-06 15:46:00
72a122b0-00ca-11ed-8577-3ea382daf853,,,,,,,2022-07-11 03:35:00
d3b797a0-084a-11ed-9c30-695b9f9efb2f,,,,,,,2022-07-20 16:41:00
a5f9f8c0-018e-11ed-a8e6-3f668362b23a,,,click,,,,2022-07-12 02:59:00
e657d1b0-0834-11ed-b7e6-e5c1df781f3d,,,,,,,2022-07-20 14:04:00
b6cbbe20-01a9-11ed-b450-68a91a22b458,,,,,,,2022-07-12 06:13:00
4d104b00-036f-11ed-af2c-4381cfa903a3,,,,,,,2022-07-14 12:20:00
281d5b00-0b38-11ed-93b1-37fc1bbd8c5d,1,48,,34,188,1,2022-07-24 10:05:00
8daceef0-0cb8-11ed-b1b7-8defbaef6648,,,unqualified,,,,2022-07-26 07:57:00
d93af940-0c93-11ed-9ae0-737d0b3dd805,,,click,,,,2022-07-26 03:34:00
1d917130-0845-11ed-9e7c-6ba5903c8e80,,,,,,,2022-07-20 16:00:00
2c4d3964-9456-11ed-af84-ad9fdcf30b0b,0,1,click,16,179,27,2023-01-14 21:55:00
a48ea810-0282-11ed-bf7a-d3082fcb4b46,,,,,,,2022-07-11 08:21:00
1f7f5b80-fea2-11ec-a845-704eff0ee446,2,4,,,98,1,2022-07-08 09:41:00
97ea0fc0-0848-11ed-a1fb-0896662b2c9f,,,,,,,2022-07-20 16:25:00
d0a01bb0-0cae-11ed-9662-5df1dbbc2d8e,1,48,,34,187,1,2022-07-26 06:47:00
eb445130-0b22-11ed-a6d7-2c19ab42bff4,,,click,,,,2022-07-24 07:33:00
92b41270-083f-11ed-b7be-fb0a5e15fdf8,,,,,,,2022-07-20 15:21:00
ad034470-0803-11ed-83a0-a08bf597af40,,,,,,,2022-07-20 08:12:00
a81a31f0-0676-11ed-9da2-0095f949912e,,,,,,,2022-07-18 08:50:00
a39a3d30-0b5a-11ed-b2d7-de0469f1e56f,1,48,click,34,188,1,2022-07-24 14:12:00
55f8bc00-0b5a-11ed-be85-920a697e9a30,1,48,,34,188,1,2022-07-24 14:10:00
5708b290-0d61-11ed-ae95-2ae4a8ef23e2,,,alive,,,,2022-07-27 04:05:00
7d7414e0-0660-11ed-8ec6-6fa86a3e3d2f,,,,,,,2022-07-18 06:11:00
a771cfe0-0187-11ed-8475-475f21d2b5a1,,,,,,,2022-07-12 02:09:00
6a3c5670-0cb0-11ed-ba26-296969cee75d,0,222,click,,1529,1,2022-07-26 06:58:00
4d09fe60-0bff-11ed-9bdd-6eef68135cb4,,,alive,,,,2022-07-25 09:51:00
56688450-fea2-11ec-93e0-df35aa6a4e41,,,alive,,,,2022-07-08 09:42:00
